#,datetime,ms,OperatingSystemImpl.FreePhysicalMemorySize
26,Thu Apr 13 11:28:14 CEST 2017,1492075694329,2452647936
27,Thu Apr 13 11:28:14 CEST 2017,1492075694529,2452639744
28,Thu Apr 13 11:28:14 CEST 2017,1492075694729,2452647936
29,Thu Apr 13 11:28:14 CEST 2017,1492075694929,2452664320
30,Thu Apr 13 11:28:15 CEST 2017,1492075695129,2452643840
31,Thu Apr 13 11:28:15 CEST 2017,1492075695329,2452639744
32,Thu Apr 13 11:28:15 CEST 2017,1492075695529,2452668416
33,Thu Apr 13 11:28:15 CEST 2017,1492075695729,2452652032
34,Thu Apr 13 11:28:15 CEST 2017,1492075695929,2452668416
35,Thu Apr 13 11:28:16 CEST 2017,1492075696129,2454089728
36,Thu Apr 13 11:28:16 CEST 2017,1492075696329,2454310912
37,Thu Apr 13 11:28:16 CEST 2017,1492075696529,2454327296
38,Thu Apr 13 11:28:16 CEST 2017,1492075696729,2454351872
39,Thu Apr 13 11:28:16 CEST 2017,1492075696929,2454335488
40,Thu Apr 13 11:28:17 CEST 2017,1492075697129,2454351872
41,Thu Apr 13 11:28:17 CEST 2017,1492075697329,2454335488
42,Thu Apr 13 11:28:17 CEST 2017,1492075697529,2454347776
43,Thu Apr 13 11:28:17 CEST 2017,1492075697729,2454364160
44,Thu Apr 13 11:28:17 CEST 2017,1492075697929,2454347776
45,Thu Apr 13 11:28:18 CEST 2017,1492075698129,2454364160
46,Thu Apr 13 11:28:18 CEST 2017,1492075698329,2451824640
47,Thu Apr 13 11:28:18 CEST 2017,1492075698529,2451849216
48,Thu Apr 13 11:28:18 CEST 2017,1492075698729,2451865600
49,Thu Apr 13 11:28:18 CEST 2017,1492075698929,2451849216
50,Thu Apr 13 11:28:19 CEST 2017,1492075699129,2451849216
